
 Lista de Imóveis da Caixa;;Data de geração:;13/07/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444402400942 ;PB ;BAYEUX ;COMERCIAL NORTE ; PROJETADA 02, N. 180, CASA NO. 02 ;37.906,97;72.000,00;47.36;Não;Casa, 58.07 de área total, 46.57 de área privativa, 88.54 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402400942
 8444404481982 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA SETOR 20, N. 40, ATUALMENTE RUA NOBERTO PAIVA ;56.028,33;106.000,00;47.15;Não;Casa, 61.92 de área total, 46.58 de área privativa, 83.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404481982
 8444403031622 ;PB ;BAYEUX ;MARIO ANDREAZZA ; RUA PROJETADA, N. 500, CS 06 ;57.085,46;108.000,00;47.15;Não;Casa, 87.90 de área total, 47.10 de área privativa, 99.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403031622
 8444407977318 ;PB ;BAYEUX ;LOT COLINA VERDE ;RUA PROJETADA 03, N. 63, CS 01 ;60.447,42;114.000,00;46.98;Não;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407977318
 8444416214429 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARECHAL CASTELO BRANCO, N. 320, CS LT 15 QD 05 ;57.676,73;108.600,00;46.90;Não;Casa, 77.53 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416214429
 8444415649871 ;PB ;BAYEUX ;CENTRO ;RUA NATIVIDADE, N. 37, CS LT E QD 16 ;61.756,43;115.897,22;46.72;Não;Casa, 72.51 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415649871
 8444405972807 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 265, CS 01 ;48.730,40;91.000,00;46.46;Não;Casa, 80.73 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405972807
 8444407770187 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 73, CS 01 ;50.336,89;94.000,00;46.46;Não;Casa, 0.00 de área total, 46.57 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407770187
 8444407978357 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 63, CS 03 ;48.194,90;90.000,00;46.46;Não;Casa, 59.19 de área total, 46.57 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407978357
 8444407349694 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOSE PAULINO FILHO, N. 133, CS 101 ;68.585,93;128.000,00;46.42;Não;Casa, 68.67 de área total, 68.67 de área privativa, 95.80 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407349694
 8444407561065 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA 03, N. 41, CS 04 ;68.420,50;127.000,00;46.13;Não;Casa, 46.57 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407561065
 8444426524757 ;PB ;BAYEUX ;JARDIM AEROPORTO ; RUA PROJETADA 06, N. SN, CS 101,  LT10 QD 35 ;57.091,68;105.169,34;45.72;Não;Casa, 82.95 de área total, 56.45 de área privativa, 84.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426524757
 8444432784358 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA 02, N. 41, CS101 LT16 QD2B ;81.531,72;149.660,10;45.53;Não;Casa, 90.00 de área total, 54.00 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432784358
 8444429526670 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VISTA PANORAMICA, N. 15, QD B, LT B18, CS B ;88.252,15;161.000,00;45.19;Não;Casa, 107.55 de área total, 71.50 de área privativa, 168.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429526670
 8444407559834 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 41, ;69.889,29;127.000,00;44.97;Não;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407559834
 8444405747064 ;PB ;BAYEUX ;MARIO ANDREAZZA ;RUA SAO JOAO BATISTA, N. 5, ;58.285,46;102.000,00;42.86;Não;Casa, 49.70 de área total, 49.70 de área privativa, 77.40 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405747064
 8444401918670 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA 10 (RUA NOSSA SENHORA APARECIDA), N. 94, CS 02 ;68.787,97;120.000,00;42.68;Não;Casa, 58.59 de área total, 58.59 de área privativa, 104.43 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401918670
 8444407978020 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 63, CS 2 ;49.786,93;86.000,00;42.11;Não;Casa, 72.19 de área total, 46.57 de área privativa, 93.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407978020
 8444407560620 ;PB ;BAYEUX ;Ver Genival A Santos ;RUA PROJETADA 3, N. 41, CS 02 ;73.567,68;127.000,00;42.08;Não;Casa, 0.00 de área total, 46.57 de área privativa, 93.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407560620
 8555505888184 ;PB ;BAYEUX ;JARDIM AEROPORTO ; RUA PROJETADA, N. 336, CS 102 ;81.555,00;139.300,00;41.46;Não;Casa, 51.25 de área total, 51.25 de área privativa, 210.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555505888184
 8555515875867 ;PB ;BAYEUX ;JARDIM AEROPORTO ;RUA GENIVALDO LUIZ DA SILVA, N. 280, LT 03 QD 32 ;177.568,31;290.000,00;38.77;Não;Casa, 115.87 de área total, 115.87 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555515875867
 8444422659607 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA, N. 36, CS A ;133.933,50;132.000,00;0.00;Não;Casa, 79.63 de área total, 59.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422659607
 8444419455338 ;PB ;BAYEUX ;JARDIM SAO SEVERINO ; RUA PROJETADA 08, N. 135, CS 04 ;107.351,39;103.411,05;0.00;Não;Casa, 50.40 de área total, 50.40 de área privativa, 408.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419455338
 1444424347540 ;PB ;BAYEUX ;FAZENDO PARAHYBA ;RODOVIA BR-101, N. SN, LT 11 QD W-1 ;1.505.884,00;408.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 425.94 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444424347540
 8444407289322 ;PB ;BOM SUCESSO ;CENTRO ;AVENIDA RAIMUNDO GONCALVES DE ALMEIDA, N. 535, 0 ;44.666,46;100.000,00;55.34;Não;Casa, 0.00 de área total, 90.12 de área privativa, 171.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407289322
